CASEID,POINT_X,POINT_Y,YEAR_,LOCATION,CHPTYPE,DAYWEEK,CRASHSEV,VIOLCAT,KILLED,INJURED,WEATHER1,PEDCOL,BICCOL,MCCOL,TRUCKCOL,ETOH,TIMECAT,MONTH_,CRASHTYP,INVOLVE,PED,PRIMARYRD,SECONDRD,DISTANCE,DIRECT,INTERSECT_,PROCDATE,JURIS,DATE_,TIME_,BADGE,JURIDIST,SHIFT,POP,SPECIAL,BEATTYPE,LAPDDIV,BEATCLAS,BEATNUMB,WEATHER2,STATEHW,CALTRANC,CALTRAND,STROUTE,ROUTESUF,POSTPRE,POSTMILE,LOCATYPE,RAMP,SIDEHW,TOWAWAY,PARTIES,PCF,VIOLCODE,VIOL,VIOLSUB,HITRUN,ROADSURF,RDCOND1,RDCOND2,LIGHTING,RIGHTWAY,CHPRDTYP,NOTPRIV,STFAULT,CHPFAULT,SEVINJ,OTHERINJ,COP,PEDKILL,PEDINJ,BICKILL,BICINJ,MCKILL,MCINJURE,RAMP1,RAMP2,CITY,COUNTY,STATE,X_CHP,Y_CHP
6047086,-122.2105631,37.82620621,2013,109,0,3,4,9,0,1,A,,,Y,,,1800,4,D,C,A,MORAGA AV,LA SALLE AV,0,,Y,2/19/14,109,4/17/13,1717,8339,1,5,7,0,0,,0,13Y,-,N,,0,0,,,0,,,,N,2,A,-,21801,A,N,A,H,-,A,A,0,Y,A,1,0,0,1,0,0,0,0,0,1,-,-,OAKLAND,ALAMEDA,CA,0,0
6047082,-122.2780431,37.80527496,2013,109,0,1,4,7,0,1,A,,,Y,,,1800,4,B,C,A,CASTRO ST,12TH ST,0,,Y,2/19/14,109,4/15/13,1750,8824,1,5,7,0,0,,0,03X,-,Y,,0,0,,,0,,,,N,2,A,-,21658,A,N,A,H,-,A,A,0,Y,A,8,0,0,1,0,0,0,0,0,1,-,-,OAKLAND,ALAMEDA,CA,0,0
6047078,-122.2666832,37.79740524,2013,109,0,6,4,12,0,1,A,,,,,,1500,3,D,C,A,MADISON ST,8TH ST,0,,Y,2/19/14,109,3/2/13,1419,8900,1,5,7,0,0,,0,03X,-,N,,0,0,,,0,,,,Y,3,A,-,21453,A,N,A,H,-,A,A,0,Y,-,-,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6045595,-122.2566931,37.79376602,2013,109,0,4,4,12,0,1,A,,,,,,1800,2,D,C,A,5TH AV,10TH ST,0,,Y,1/28/14,109,2/28/13,1527,8184,1,5,7,0,0,,0,19X,-,N,,0,0,,,0,,,,Y,2,A,-,21453,A,N,A,H,-,A,A,0,Y,-,-,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6043943,-122.2702531,37.82266617,2013,109,0,4,4,9,0,1,A,,,,,,1800,4,D,C,A,MARTIN LUTHER KING JR WY,33RD ST,0,,Y,2/19/14,109,4/18/13,1711,8444,1,5,7,0,0,,0,06X,-,N,,0,0,,,0,,,,Y,2,A,-,21802,A,M,A,H,-,A,A,0,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6043645,-122.1797331,37.73916626,2013,109,0,6,4,12,0,2,A,,,,,,900,2,D,C,A,SAN LEANDRO ST,98TH AV,0,,Y,4/26/14,109,2/2/13,855,7704,2,5,7,0,0,,0,32X,-,N,,0,0,,,0,,,,N,2,A,-,21453,A,N,A,H,-,A,A,0,Y,-,-,0,0,2,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6043641,-122.2206031,37.77229309,2013,109,0,4,4,12,0,1,A,,,,,,1200,2,B,C,A,SAN LEANDRO BL,39TH AV,0,,Y,1/29/14,109,2/28/13,1038,8848,2,5,7,0,0,,0,23X,-,N,,0,0,,,0,,,,N,3,A,-,22450,A,M,A,H,-,A,A,0,Y,-,99,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6043613,-122.2642632,37.81559372,2013,109,0,7,3,-,0,1,A,,Y,,,,2400,2,H,G,A,BROADWAY,27TH ST,0,,Y,4/26/14,109,2/17/13,2100,8662,1,5,7,0,0,,0,08X,-,N,,0,0,,,0,,,,N,2,-,-,0,,N,A,H,-,C,A,0,Y,-,-,0,1,0,0,0,0,1,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6043609,-122.1818232,37.77042389,2013,109,0,7,3,12,0,2,A,,,,,,1200,2,D,C,A,FOOTHILL BL,HAVENSCOURT BL,0,,Y,1/29/14,109,2/24/13,1133,8792,2,5,7,0,0,,0,29X,-,N,,0,0,,,0,,,,N,3,A,-,21453,A,M,A,H,-,A,A,0,Y,A,1,0,1,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6042579,-122.2175332,37.78373337,2013,109,0,2,4,8,0,1,A,,,,,,300,4,C,E,A,35TH AV,HARPER ST,0,,Y,2/15/14,109,4/23/13,30,9128,1,5,7,0,0,,0,24X,-,N,,0,0,,,0,,,,Y,2,A,-,22107,,N,A,H,-,C,D,0,Y,A,8,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
